UUID,Name,Category,Standard Conformity,Country Code,Declaration owner,Register Number,Reference Quantity,Reference,Area Weight (kg/m2),Density (kg/m3)
85c48e5f-299c-463b-9aaf-da332a29dfe0,5.3.01. Plastic-modified bitumen thick coating,'Beschichtungen' / 'Bituminöse Anstriche' / 'Bitumenbeschichtungen','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,
5db23634-51e2-425f-818f-643df5714b22,StoColor Lotusan®,'Beschichtungen' / 'Fassadenfarben' / 'Dispersion','EN 15804+A2 (EF 3.0)' / 'ISO 14025',EU-27,Sto SE & Co. KGaA,EPD-Kiwa-EE-000417-EN,1,kg,,1500.0
8c5e949d-1b5e-4dc6-b6ae-bfc8e6c863ce,"Applicationpaint emulsion, dispersion paint",'Beschichtungen' / 'Fassadenfarben' / 'Dispersion','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,
20043853-b153-484a-80c4-dd1bf1cb76e3,"Application coating, silicate dispersion paint",'Beschichtungen' / 'Fassadenfarben' / 'Silikat-Dispersion','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,
b974b2f9-967e-4356-80ae-d7feeb4f0d46,Application coating silicone paint,'Beschichtungen' / 'Fassadenfarben' / 'Silikonharz','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,
3f46d1db-b18a-47e1-840d-e2f73c7a9bd6,Dr. Schutz® PU Sealer,'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2' / 'ISO 14025',DE,Dr. Schutz GmbH,EPD-Dr. Schutz-281-EN,1,qm,0.1,
44eada3f-2004-48b9-8152-22cd045bc3cf,5.1.01. Dispersion plaster,'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,
56251b2e-c726-476f-9eb2-4b4d8222c9cf,"Waterproof, flexible protective layer under ceramic coverings",'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,
702f85d0-cf94-4ed5-a968-7ba106bb14e1,Dr. Schutz® UV PU Sealer,'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2' / 'ISO 14025',DE,Dr. Schutz GmbH,EPD-Dr. Schutz-282-EN,1,qm,0.1,
849af6c4-050a-4119-9bb4-9dd64a7a86fc,"Application primer emulsion, dispersion paint",'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,
872d0572-94df-4fba-bf44-1adb1b560425,Dr. Schutz® PU Resin Sealer,'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2' / 'ISO 14025',DE,Dr. Schutz GmbH,EPD-Dr. Schutz-304-EN,1,qm,0.1,
b1964649-fd26-49d3-9aca-464fe807f2b2,"Application primer emulsion, silicate dispersion paint",'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,
ba652b29-707b-49e8-98ab-508c0ddd13ff,Dr. Schutz® PU Anticolor,'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2' / 'ISO 14025',DE,Dr. Schutz GmbH,EPD-Dr. Schutz-279-EN,1,qm,0.1,
c7de4362-de1c-4aac-a1a3-6adde996e142,Passive Purple,'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2' / 'ISO 14025',BJ,Intelligent Membranes Ltd.,EPD-IntelligentMembranes-249-EN,1,qm,0.7,
ef271096-b8dc-4e94-8353-50248c5d888a,Dr. Schutz® PU Color,'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2' / 'ISO 14025',DE,Dr. Schutz GmbH,EPD-Dr. Schutz-280-EN,1,qm,0.2,
1d9b43c1-d3ab-44e0-922c-a0137df792c9,"Dispersion-based products, group 2",'Beschichtungen' / 'Innenbeschichtungen' / 'Dispersionsklebstoffe','DIN EN 15804+A2' / 'ISO 14025',RER,FEICA - Association of the European Adhesive and Sealant Industry,EPD-DBC-20220147-IBF1-EN,1,kg,,
6984ad83-e349-4403-8e07-0d95195bc1d0,Fabric Tape,'Beschichtungen' / 'Innenbeschichtungen' / 'Dispersionsklebstoffe','DIN EN 15804+A2' / 'ISO 14025',RER,Uzin Utz SE,EPD-UZI-20230498-IBC1-EN,1,qm,0.348,
778ff18e-67fe-4aca-a44e-164de984271b,"Dispersion-based products, group 1",'Beschichtungen' / 'Innenbeschichtungen' / 'Dispersionsklebstoffe','DIN EN 15804+A2' / 'ISO 14025',RER,FEICA - Association of the European Adhesive and Sealant Industry,EPD-DBC-20220146-IBF1-EN,1,kg,,
897ba41b-b3c7-4637-a873-836889576865,"Dispersion-based products, group 3",'Beschichtungen' / 'Innenbeschichtungen' / 'Dispersionsklebstoffe','DIN EN 15804+A2' / 'ISO 14025',RER,FEICA - Association of the European Adhesive and Sealant Industry,EPD-DBC-20220148-IBF1-EN,1,kg,,
b9935c75-8f83-41f8-8185-7d00527240a5,"Dispersion-based products, group 4",'Beschichtungen' / 'Innenbeschichtungen' / 'Dispersionsklebstoffe','DIN EN 15804+A2' / 'ISO 14025',RER,FEICA - Association of the European Adhesive and Sealant Industry,EPD-DBC-20220149-IBF1-EN,1,kg,,
e989ee85-bc83-4e8a-b878-8dda00635cc8,Skirting Tapes,'Beschichtungen' / 'Innenbeschichtungen' / 'Dispersionsklebstoffe','DIN EN 15804+A2' / 'ISO 14025',RER,Uzin Utz SE,EPD-UZI-20230497-IBC2-EN,1,qm,0.462,
ee525479-d58b-4e87-b7ea-38d73e41807f,Film Tapes,'Beschichtungen' / 'Innenbeschichtungen' / 'Dispersionsklebstoffe','DIN EN 15804+A2' / 'ISO 14025',RER,Uzin Utz SE,EPD-UZI-20230496-IBC1-EN,1,qm,0.277,
198223f3-acee-40be-93bb-0e7b365cacfc,Lime colour,'Beschichtungen' / 'Innenbeschichtungen' / 'Innenfarben','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,0.2,
b0b25f5c-0982-4f75-b75b-bb28f5807b64,"Application paint emulsion, interior, wear resistant",'Beschichtungen' / 'Innenbeschichtungen' / 'Innenfarben','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,
00d981f2-2494-4bb1-bfe3-91b57fc141e4,Woven glass fibre wall covering,'Beschichtungen' / 'Innenbeschichtungen' / 'Wand- und Deckenbeläge','DIN EN 15804+A2' / 'ISO 14025',RER,Vitrulan Textile Glass GmbH,EPD-VIT-20230430-CBC1-EN,1,qm,0.145,
105fd89e-fda6-49be-9cac-36128ae6447c,EGGER Laminate,'Beschichtungen' / 'Innenbeschichtungen' / 'Wand- und Deckenbeläge','DIN EN 15804+A2' / 'ISO 14025',DE,Fritz EGGER GmbH & Co. OG,EPD-EGG-20210049-IBC1-DE,1,qm,0.961,1373.0
