UUID,Name,Category,Conformity,Laenderkennung,Declaration owner,Registrierungsnummer,Bezugsgroesse,Bezugseinheit,Flaechengewicht (kg/m2),Rohdichte (kg/m3),Schichtdicke (m),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,Modul,GWPtotal,GWPbiogenic,GWPfossil
c93da4c3-94c9-4c86-b092-610cf1cf012f,FOAMGLAS® T4+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200299-IBB1-EN,1,kg,,115.0,,,,,,A1-A3,1.43,-0.0562,1.49
c93da4c3-94c9-4c86-b092-610cf1cf012f,FOAMGLAS® T4+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200299-IBB1-EN,1,kg,,115.0,,,,,,A4,0.0296,0.00133,0.028
c93da4c3-94c9-4c86-b092-610cf1cf012f,FOAMGLAS® T4+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200299-IBB1-EN,1,kg,,115.0,,,,,,A5,0.1211,0.0788,0.0423
c93da4c3-94c9-4c86-b092-610cf1cf012f,FOAMGLAS® T4+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200299-IBB1-EN,1,kg,,115.0,,,,,,C1,0.000616,1.93e-06,0.00064
c93da4c3-94c9-4c86-b092-610cf1cf012f,FOAMGLAS® T4+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200299-IBB1-EN,1,kg,,115.0,,,,,,C2,0.00235,0.000106,0.00223
c93da4c3-94c9-4c86-b092-610cf1cf012f,FOAMGLAS® T4+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200299-IBB1-EN,1,kg,,115.0,,,,,,C3,0.0,0.0,0.0
c93da4c3-94c9-4c86-b092-610cf1cf012f,FOAMGLAS® T4+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200299-IBB1-EN,1,kg,,115.0,,,,,,C3,0.00241,2.11e-05,0.00239
c93da4c3-94c9-4c86-b092-610cf1cf012f,FOAMGLAS® T4+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200299-IBB1-EN,1,kg,,115.0,,,,,,C4,0.0153,4.86e-05,0.0152
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,FOAMGLAS® T3+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200300-IBB1-EN,1,kg,,100.0,,,,,,A1-A3,1.4536,-0.0472,1.5
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,FOAMGLAS® T3+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200300-IBB1-EN,1,kg,,100.0,,,,,,A4,0.0296,0.00133,0.028
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,FOAMGLAS® T3+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200300-IBB1-EN,1,kg,,100.0,,,,,,A5,0.123,0.0653,0.0579
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,FOAMGLAS® T3+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200300-IBB1-EN,1,kg,,100.0,,,,,,C1,0.000647,1.93e-06,0.00064
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,FOAMGLAS® T3+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200300-IBB1-EN,1,kg,,100.0,,,,,,C2,0.00235,0.000106,0.00223
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,FOAMGLAS® T3+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200300-IBB1-EN,1,kg,,100.0,,,,,,C3,0.0,0.0,0.0
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,FOAMGLAS® T3+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200300-IBB1-EN,1,kg,,100.0,,,,,,C3,0.00195,1.7e-05,0.00193
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,FOAMGLAS® T3+,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200300-IBB1-EN,1,kg,,100.0,,,,,,C4,0.01529,4.86e-05,0.0152
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,FOAMGLAS® F,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200301-IBA1-EN,1,kg,,165.0,,,,,,A1-A3,1.45,-0.0445,1.49
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,FOAMGLAS® F,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200301-IBA1-EN,1,kg,,165.0,,,,,,A4,0.0291,0.00132,0.0276
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,FOAMGLAS® F,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200301-IBA1-EN,1,kg,,165.0,,,,,,A5,0.0899,0.0645,0.0254
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,FOAMGLAS® F,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200301-IBA1-EN,1,kg,,165.0,,,,,,C1,0.000647,1.93e-06,0.00064
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,FOAMGLAS® F,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200301-IBA1-EN,1,kg,,165.0,,,,,,C2,0.00235,0.000106,0.00223
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,FOAMGLAS® F,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200301-IBA1-EN,1,kg,,165.0,,,,,,C3,0.0,0.0,0.0
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,FOAMGLAS® F,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200301-IBA1-EN,1,kg,,165.0,,,,,,C3,0.002738,2.38e-05,0.00271
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,FOAMGLAS® F,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200301-IBA1-EN,1,kg,,165.0,,,,,,C4,0.0152923,4.86e-05,0.0152
f0b20a40-b4cb-4c34-9f2e-145e3d9af024,FOAMGLAS® S3,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200302-IBA1-EN,1,kg,,130.0,,,,,,A1-A3,1.438,-0.0631,1.5
f0b20a40-b4cb-4c34-9f2e-145e3d9af024,FOAMGLAS® S3,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200302-IBA1-EN,1,kg,,130.0,,,,,,A4,0.0297,0.00134,0.0281
f0b20a40-b4cb-4c34-9f2e-145e3d9af024,FOAMGLAS® S3,'Dämmstoffe' / 'Schaumglas' / 'Platten','DIN EN 15804+A2' / 'ISO 14025',RER,Pittsburgh Corning Europe NV,EPD-PCE-20200302-IBA1-EN,1,kg,,130.0,,,,,,A5,0.1236,0.0887,0.0349
